epochs,loss,accuracy,val_loss,val_accuracy
1,0.5719,78.84,0.8493,69.75
2,0.2886,89.36,0.5671,80.23
3,0.2136,92.08,0.5586,83.03
4,0.1716,93.66,0.6529,80.13
5,0.1331,95.2,0.6193,83.67
6,0.1221,95.51,0.7864,80.28
7,0.1025,96.35,0.6079,84.52
8,0.0997,96.45,0.6263,84.07
