epochs,loss,accuracy,val_loss,val_accuracy
1,0.6287,76.49,0.6984,73.14
2,0.3468,87.03,0.6088,79.78
3,0.2637,90.08,0.6921,72.04
4,0.1996,92.57,0.6212,82.13
5,0.1746,93.61,0.7372,75.49
6,0.1494,94.6,0.672,79.78
7,0.1386,95.01,0.6957,79.18
